designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 6730447609522783104,6730447609522783104,280.2719915,-36.99625726,0.4718889236,-2.115324427,-2.763050001,1.0248513,16.389996,0.97112274,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5165.0034,4.5415,-0.7949,1273.1102,0.0125,0.0102,0.0055
Gaia DR3 6730447609523048832,6730447609523048832,280.270933,-37.00552915,,,,,20.706337,0.83146477,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730447639575714176,6730447639575714176,280.285571,-37.00073991,0.2713758486,2.430490183,0.5093902654,1.0290602,17.078413,1.1212826,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5052.5435,4.7731,-1.5448,1041.038,0.2669,0.2147,0.1168
Gaia DR3 6730447639576171520,6730447639576171520,280.2770152,-36.9962568,0.1837190666,-1.068624475,-5.298368163,0.97047937,17.458044,1.0384045,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5068.409,4.6996,-0.7727,1622.8691,0.0149,0.012,0.0064
Gaia DR3 6730447639577134464,6730447639577134464,280.2822633,-37.00330636,-0.007081154742,-2.222691696,-6.52583421,1.0180326,19.42785,1.0155945,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730447639577150336,6730447639577150336,280.2812457,-36.99770585,0.4936713936,-0.704420255,-7.286370563,0.9846984,19.375519,0.84861755,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730447639577152512,6730447639577152512,280.2880523,-36.99673067,0.2115738415,-0.9871806942,-11.5590417,0.9750373,18.260874,0.8075676,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5688.012,4.7379,-1.7364,2952.6208,0.0028,0.0024,0.0013
Gaia DR3 6730447639577163264,6730447639577163264,280.2895443,-36.9921915,0.3827817727,2.024623151,-17.97664375,1.0358307,19.399878,2.5686817,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730447639577165056,6730447639577165056,280.2777824,-36.99227772,0.2519313211,-4.829096241,-10.05824206,0.9147219,19.20098,0.74629974,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730447639577170432,6730447639577170432,280.2790789,-36.99022839,-0.1995430784,-0.7646267973,-0.9912720708,0.9944004,19.648153,1.1881332,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730447639577182080,6730447639577182080,280.2850402,-36.98701216,0.1822848315,-1.279419322,-4.62601799,1.0639294,18.464867,0.9978199,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5161.5312,4.7038,-0.637,2774.804,0.0033,0.0026,0.0014
Gaia DR3 6730447712594502272,6730447712594502272,280.3335771,-36.99842904,,,,,20.616558,1.0674267,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206370662784,6730560206370662784,280.9221254,-36.68783353,-0.5937994124,-0.746142041,-4.310788496,0.949983,20.17605,0.83514977,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206370662912,6730560206370662912,280.9248251,-36.68518237,-0.2442993115,0.5171894041,-4.190674923,1.0426394,20.038774,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206370663040,6730560206370663040,280.9176939,-36.69211827,0.2062303452,2.104448717,-5.226831095,1.0639335,20.033876,1.951519,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206370671488,6730560206370671488,280.9132242,-36.69191314,-0.1905252383,-0.451907243,-9.253298099,1.0851225,19.468727,1.0818348,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206370672000,6730560206370672000,280.9166718,-36.68835963,0.1539716665,-0.291869729,-10.45608264,1.1262858,17.690086,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206370674304,6730560206370674304,280.9178196,-36.68544888,,,,,19.59569,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206370674432,6730560206370674432,280.9178439,-36.68601274,0.5950692012,2.044562349,-1.900729303,0.9672276,18.552954,1.7160568,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3988.988,4.9612,-1.4038,721.4584,0.0132,0.0096,0.0052
Gaia DR3 6730560206370677888,6730560206370677888,280.9121435,-36.68952546,,,,,19.675722,1.4307041,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206376308096,6730560206376308096,280.9220398,-36.68996001,0.4904248171,-3.306576232,-7.42695557,0.9883419,20.28118,0.72432137,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206376533504,6730560206376533504,280.9271977,-36.69222894,0.5608778359,1.297988501,-5.523071205,0.96902186,20.099081,0.75766754,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206376534528,6730560206376534528,280.9197736,-36.69497256,0.4932553287,-0.5074237175,-6.322729401,0.9048486,20.28279,0.9963455,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206376536448,6730560206376536448,280.9192122,-36.68997081,0.108673153,0.08197569384,-6.022664124,0.9643294,20.347387,1.644619,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206376538240,6730560206376538240,280.9125877,-36.69115262,-0.009099529446,-0.7285462864,-7.917870475,1.0954617,20.476906,1.1457272,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206376539008,6730560206376539008,280.9223144,-36.68158048,0.5468433728,-6.787116597,-1.458740012,0.9855368,20.457127,1.7569447,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206382282112,6730560206382282112,280.9144733,-36.69383183,0.8289326978,3.643509163,-2.96177669,1.0861332,20.61316,1.3885574,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206382284416,6730560206382284416,280.9164221,-36.69571605,-0.9805640926,-0.4835815719,-3.057860876,0.95074666,20.41913,1.3628674,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683729636788992,6730683729636788992,284.2011963,-38.01654691,0.4378253539,5.598161418,-2.940371934,0.9835586,17.443735,1.1462135,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4781.984,4.6501,-0.1907,1535.0665,0.0058,0.0045,0.0024
Gaia DR3 6730683729636789376,6730683729636789376,284.2087808,-38.00852436,0.7241598495,-4.865209466,-18.46130101,0.9004326,17.63659,1.598444,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4048.3594,4.7593,-0.5336,804.2128,0.0337,0.0247,0.0132
Gaia DR3 6730683729636792064,6730683729636792064,284.2065879,-38.00619651,0.3922496748,-2.97325618,-2.782204126,0.9358528,18.312233,0.9878197,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5108.98,4.775,-1.3311,2118.5889,0.0081,0.0066,0.0036
Gaia DR3 6730683759695785728,6730683759695785728,284.2157564,-38.00758669,0.2331851499,-0.009090469158,-3.8317634,1.1212903,18.570538,0.9927921,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5037.0063,4.7883,-1.3748,2257.3596,0.004,0.0033,0.0018
